set_number,title,theme,year_released,year_retired,parts_count,minifig_count,retiring_soon,annual_growth_pct,rolling_growth_pct,growth_90d_pct,total_growth_pct,value_new_cents,rrp_usd_cents,rating_value,review_count,subtheme,subtheme_avg_growth_pct,theme_rank,price_per_part,minifig_density,value_vs_rrp,quintile,is_bottom_q,is_avoid
76231,"Advent Calendar 2022, Super Heroes, Guardians of the Galaxy (Day 24) - Drax in Holiday Sweater with Silverware and Infinity Stones",Holiday & Event,2022,,268,7,False,1.25,,,,3929,4499,4.7,37,Seasonal,,,16.78731343283582,2.6119402985074625,0.8733051789286508,Q1_worst,True,True
41758,"Advent Calendar 2023, Friends",Holiday & Event,2023,,231,,False,1.43,,,,3260,3499,4.6,24,Seasonal,1.43,2,15.147186147186147,0.0,0.9316947699342669,Q1_worst,True,True
10786,Gabby & MerCat's Ship & Spa,Gabby's Dollhouse,2023,,81,2,False,1.43,,-3.63,0.05,2000,1999,4.7,49,,1.53,3,24.679012345679013,2.4691358024691357,1.0005002501250626,Q1_worst,True,True
10787,Kitty Fairy's Garden Party,Gabby's Dollhouse,2023,,122,3,False,1.53,,,,3487,3499,4.7,48,,1.53,4,28.68032786885246,2.459016393442623,0.9965704486996285,Q1_worst,True,True
43218,Anna and Elsa's Magical Carousel,Disney,2023,,162,4,False,1.59,3.37,3.6,0.05,2000,1999,4.7,33,Frozen,2.19,6,12.339506172839506,2.4691358024691357,1.0005002501250626,Q1_worst,True,True
80030,Monkie Kid’s Staff Creations,Monkie Kid,2022,,300,2,False,1.61,,,,4134,3999,4.7,33,,,,13.33,0.6666666666666667,1.0337584396099024,Q1_worst,True,True
31138,Beach Camper Van,Creator,2023,,548,2,False,1.63,1.77,11.26,1.44,5071,4999,4.7,31,3 in 1,4.27,66,9.122262773722628,0.36496350364963503,1.0144028805761152,Q1_worst,True,True
10989,Water Park,DUPLO,2023,,17,2,False,1.77,2.95,-2.31,3.8,4151,3999,4.6,14,,4.74,127,235.23529411764707,11.76470588235294,1.038009502375594,Q1_worst,True,True
40603,Wintertime Carriage Ride,Holiday & Event,2023,,139,3,False,1.86,,16.31,,3500,,4.7,42,Christmas,4.85,10,0.0,2.158273381294964,,Q1_worst,True,True
41740,Aliya's Room,Friends,2023,,201,2,False,2.34,2.0,1.08,4.85,2096,1999,4.7,17,Bedrooms,2.81,6,9.945273631840797,0.9950248756218906,1.0485242621310655,Q1_worst,True,True
80037,Dragon of the East,Monkie Kid,2022,,855,4,False,2.44,,-6.31,5.85,8467,7999,4.7,40,Season 3,8.47,6,9.355555555555556,0.46783625730994155,1.0585073134141767,Q1_worst,True,True
41741,Dog Rescue Van,Friends,2023,,292,2,False,2.47,2.99,3.13,4.47,3133,2999,4.6,17,,6.1,288,10.270547945205479,0.684931506849315,1.0446815605201734,Q1_worst,True,True
43210,Moana's Wayfinding Boat,Disney,2023,,313,2,False,2.5,1.69,3.65,3.37,3617,3499,4.7,32,Moana,9.07,2,11.178913738019169,0.6389776357827476,1.0337239211203202,Q1_worst,True,True
71405,Fuzzy Flippers - Expansion Set,Super Mario,2022,,114,2,False,2.5,,,,2215,1999,4.7,22,,,,17.535087719298247,1.7543859649122806,1.1080540270135069,Q1_worst,True,True
71023,"Minifigure, The LEGO Movie 2 (Complete Series of 20 Complete Minifigure Sets)",Collectible Minifigures,2019,,,1,False,2.52,,,,524,399,4.6,26,The LEGO Movie 2 The Second Part,,,,0.0,1.31328320802005,Q1_worst,True,True
10982,Fruit and Vegetable Tractor,DUPLO,2023,,18,1,False,2.56,8.74,1.03,0.8,2015,1999,4.7,15,,4.74,103,111.05555555555556,5.555555555555555,1.0080040020010006,Q1_worst,True,True
41738,Dog Rescue Bike,Friends,2023,,118,2,False,2.58,1.63,1.06,5.21,1051,999,4.7,17,Dog Rescue,3.44,,8.466101694915254,1.694915254237288,1.052052052052052,Q1_worst,True,True
76211,Shuri's Sunbird,Super Heroes,2022,,325,4,False,2.62,,,,5328,4999,4.7,30,Black Panther,,,15.381538461538462,1.2307692307692308,1.0658131626325265,Q1_worst,True,True
41739,Liann's Room,Friends,2023,,196,2,False,2.81,,,,1998,1999,4.7,17,Bedrooms,2.81,3,10.198979591836734,1.0204081632653061,0.9994997498749375,Q1_worst,True,True
41754,Leo's Room,Friends,2023,,195,2,False,2.81,,,,1999,1999,4.6,18,Bedrooms,2.81,2,10.251282051282052,1.0256410256410255,1.0,Q1_worst,True,True
41755,Nova's Room,Friends,2023,,171,2,False,2.82,4.59,6.49,4.0,2079,1999,4.7,18,Bedrooms,2.81,1,11.690058479532164,1.1695906432748537,1.0400200100050025,Q1_worst,True,True
10983,Organic Market,DUPLO,2023,,40,,False,2.83,1.54,-2.66,6.5,3194,2999,4.5,15,,4.74,147,74.975,0.0,1.0650216738912972,Q1_worst,True,True
41736,Sea Rescue Center,Friends,2023,,363,3,False,2.98,,,,4984,4999,4.6,18,Sea Rescue,2.98,3,13.771349862258953,0.8264462809917356,0.996999399879976,Q1_worst,True,True
41734,Sea Rescue Boat,Friends,2023,,697,4,False,2.98,,,,6996,7999,4.7,18,Sea Rescue,2.98,1,11.476327116212339,0.5738880918220948,0.8746093261657707,Q1_worst,True,True
76946,Blue & Beta Velociraptor Capture,Jurassic World,2022,,166,2,False,3.05,,,,3693,3499,4.8,5,Dominion,,,21.07831325301205,1.2048192771084338,1.0554444126893399,Q1_worst,True,True
75340,"Advent Calendar 2022, Star Wars (Day 24) - Festive R2-D2",Holiday & Event,2022,,329,8,False,3.12,,,,4617,4499,4.7,5,Seasonal,,,13.674772036474165,2.43161094224924,1.0262280506779284,Q1_worst,True,True
41749,Newsroom Van,Friends,2023,,435,3,False,3.2,,,,2782,2999,4.7,17,Traffic,3.2,11,6.894252873563218,0.6896551724137931,0.9276425475158386,Q1_worst,True,True
11032,Creative Color Fun,Classic,2023,,1500,,False,3.26,,,,6499,6499,4.7,23,Creative Fun,3.26,4,4.332666666666666,0.0,1.0,Q1_worst,True,True
11027,Creative Neon Fun,Classic,2023,,333,,False,3.32,1.88,2.06,2.15,2042,1999,4.6,15,Creative Fun,3.26,7,6.003003003003003,0.0,1.0215107553776888,Q1_worst,True,True
76210,Hulkbuster,Super Heroes,2022,,4045,1,False,3.32,,,,58138,54999,4.8,35,Age of Ultron,,,13.596786155747838,0.024721878862793575,1.057073764977545,Q1_worst,True,True
71412,Big Bad Island - Expansion Set,Super Mario,2022,,125,4,False,3.46,,,,4829,4499,4.7,18,Expansion Set,,,35.992,3.2,1.0733496332518337,Q1_worst,True,True
70849,Wyld-Mayhem Star Fighter,The LEGO Movie 2,2019,,380,4,False,3.53,,,,6479,4999,4.7,43,,,,13.155263157894737,1.0526315789473684,1.2960592118423684,Q1_worst,True,True
76944,T. rex Dinosaur Breakout,Jurassic World,2022,,121,3,False,3.56,,,,5215,4999,4.7,8,Dominion,,,41.31404958677686,2.479338842975207,1.0432086417283457,Q1_worst,True,True
41425,Olivia's Flower Garden,Friends,2020,2021,75,2,False,3.63,,,,1357,999,4.6,16,Science,,,13.32,2.666666666666667,1.3583583583583583,Q1_worst,True,True
41807,Bracelet Designer Mega Pack,Dots,2023,,388,,False,3.73,2.64,-5.82,1.2,3035,2999,4.6,38,Bracelets,3.83,19,7.729381443298969,0.0,1.0120040013337779,Q1_worst,True,True
75339,Death Star Trash Compactor Diorama,Star Wars,2022,,780,6,False,3.82,,,,9322,8999,4.8,25,Diorama Collection,,,11.537179487179488,0.7692307692307693,1.0358928769863318,Q1_worst,True,True
41728,Heartlake Downtown Diner,Friends,2023,,334,3,False,3.98,,,,2742,2999,4.6,21,Heartlake City,3.98,14,8.979041916167665,0.8982035928143712,0.9143047682560853,Q1_worst,True,True
41743,Hair Salon,Friends,2023,,389,3,False,3.98,,,,3996,3999,4.7,16,Heartlake City,3.98,34,10.280205655526993,0.7712082262210797,0.9992498124531133,Q1_worst,True,True
11033,Creative Fantasy Universe,Classic,2023,,1800,,False,3.99,3.66,5.94,10.02,9901,8999,4.6,14,Miscellaneous,5.97,2,4.999444444444444,0.0,1.1002333592621403,Q1_worst,True,True
42155,The Batman - Batcycle,Technic,2023,,641,,False,4.09,,,,4553,4999,4.7,35,Licensed,4.09,20,7.798751950078003,0.0,0.9107821564312862,Q1_worst,True,True
42156,Peugeot 9X8 24H Le Mans Hybrid Hypercar,Technic,2023,,1775,,False,4.09,,,,19900,19999,4.8,30,Licensed,4.09,15,11.267042253521128,0.0,0.9950497524876244,Q1_worst,True,True
42146,Liebherr Crawler Crane LR 13000,Technic,2023,,2883,,False,4.09,,9.22,6.4,74476,69999,4.8,32,Licensed,4.09,35,24.279916753381894,0.0,1.0639580565436648,Q1_worst,True,True
42153,NASCAR Next Gen Chevrolet Camaro,Technic,2023,,672,,False,4.09,,,,4558,4999,4.7,34,Licensed,4.09,17,7.438988095238095,0.0,0.9117823564712942,Q1_worst,True,True
75250,Pasaana Speeder Chase,Star Wars,2019,,357,4,False,4.13,,,,4354,3999,4.7,29,The Rise of Skywalker,,,11.201680672268907,1.1204481792717087,1.0887721930482621,Q1_worst,True,True
76212,Shuri's Lab,Super Heroes,2022,,50,2,False,4.22,,,,1164,999,4.6,29,Black Panther,,,19.98,4.0,1.165165165165165,Q1_worst,True,True
31133,White Rabbit,Creator,2023,,258,,False,4.27,,,,1999,1999,4.7,21,3 in 1,4.27,16,7.748062015503876,0.0,1.0,Q1_worst,True,True
31139,Cozy House,Creator,2023,,808,3,False,4.27,,,,5999,5999,4.7,32,3 in 1,4.27,23,7.4245049504950495,0.3712871287128713,1.0,Q1_worst,True,True
31137,Adorable Dogs,Creator,2023,,475,,False,4.27,,,,2995,2999,4.7,31,3 in 1,4.27,36,6.313684210526316,0.0,0.9986662220740247,Q1_worst,True,True
31142,Space Roller Coaster,Creator,2023,,852,6,False,4.27,,25.23,31.02,14411,10999,4.7,33,3 in 1,4.27,45,12.90962441314554,0.7042253521126761,1.310210019092645,Q1_worst,True,True
71407,Cat Peach Suit and Frozen Tower - Expansion Set,Super Mario,2022,,436,3,False,4.3,,,,9500,7999,4.7,24,,,,18.34633027522936,0.6880733944954129,1.187648456057007,Q1_worst,True,True
71406,Yoshi's Gift House - Expansion Set,Super Mario,2022,,203,2,False,4.32,,,,2999,2999,4.7,25,Expansion Set,,,14.773399014778326,0.9852216748768473,1.0,Q1_worst,True,True
76943,Pteranodon Chase,Jurassic World,2022,,82,2,False,4.4,,,,2360,1999,4.7,37,Dominion,,,24.378048780487806,2.4390243902439024,1.1805902951475737,Q1_worst,True,True
76910,Aston Martin Valkyrie AMR Pro and Aston Martin Vantage GT3,SPEED CHAMPIONS,2022,,582,2,False,4.44,,,,4500,4499,4.8,31,Aston Martin,,,7.730240549828179,0.3436426116838488,1.0002222716159146,Q1_worst,True,True
40643,Jade Rabbit,Holiday & Event,2023,,288,,False,4.45,,,,1906,1999,4.7,21,Chinese Traditional Festivals,4.45,15,6.940972222222222,0.0,0.9534767383691846,Q1_worst,True,True
75239,Action Battle Hoth Generator Attack,Star Wars,2019,,226,2,False,4.45,,,,3500,2999,4.7,24,Episode V,,,13.269911504424778,0.8849557522123894,1.1670556852284095,Q1_worst,True,True
80108,Lunar New Year Traditions,Holiday & Event,2022,,1013,12,False,4.45,,,,6858,7999,4.7,30,Chinese Traditional Festivals,4.45,3,7.896347482724581,1.1846001974333662,0.8573571696462058,Q1_worst,True,True
80109,Lunar New Year Ice Festival,Holiday & Event,2022,,1460,13,False,4.45,,,,10000,11999,4.8,30,Chinese Traditional Festivals,4.45,2,8.218493150684932,0.8904109589041096,0.8334027835652971,Q1_worst,True,True
76213,King Namor's Throne Room,Super Heroes,2022,,343,3,False,4.51,,,,3499,3499,4.7,29,Black Panther,,,10.201166180758017,0.8746355685131195,1.0,Q1_worst,True,True
76215,Black Panther,Super Heroes,2022,,2961,,False,4.51,,,,31929,34999,4.8,29,Black Panther,,,11.819993245525161,0.0,0.9122832080916597,Q1_worst,True,True
80034,Nezha's Fire Ring,Monkie Kid,2022,,887,7,False,4.52,-1.89,1.04,10.01,11000,9999,4.7,35,Season 3,8.47,8,11.2728297632469,0.7891770011273956,1.1001100110011002,Q1_worst,True,True
75254,AT-ST Raider,Star Wars,2019,,522,4,False,4.6,,,,4271,4999,4.7,30,The Mandalorian,,,9.576628352490422,0.7662835249042145,0.8543708741748349,Q1_worst,True,True
75324,Dark Trooper Attack,Star Wars,2022,,146,4,False,4.6,,,,3485,3499,4.7,30,The Mandalorian,,,23.965753424657535,2.73972602739726,0.9959988568162332,Q1_worst,True,True
75326,Boba Fett's Throne Room,Star Wars,2022,,712,7,False,4.6,,,,8027,9999,4.8,32,The Book of Boba Fett,,,14.043539325842696,0.9831460674157303,0.8027802780278028,Q1_worst,True,True
76403,The Ministry of Magic,Harry Potter,2022,,948,10,False,4.6,,,,8995,9999,4.8,32,Deathly Hallows,,,10.54746835443038,1.0548523206751055,0.8995899589958996,Q1_worst,True,True
