set_number,title,theme,actual_growth,avoid,rf_theme_decay,rf_expensive,rf_low_minifigs,rf_weak_subtheme,rf_weak_theme,rf_overpriced,rf_composite,rf_flag_count
71403,Adventures with Peach - Starter Course,Super Mario,6.489999771118164,0,30.0,70.0,25.0,10.0,70.0,40.0,40.75,2
71405,Fuzzy Flippers - Expansion Set,Super Mario,2.5,1,30.0,50.0,25.0,10.0,70.0,10.0,33.25,1
71406,Yoshi's Gift House - Expansion Set,Super Mario,4.320000171661377,1,30.0,50.0,45.0,30.0,70.0,20.0,41.75,1
71407,Cat Peach Suit and Frozen Tower - Expansion Set,Super Mario,4.300000190734863,1,30.0,70.0,45.0,10.0,70.0,40.0,43.75,2
71408,Peach's Castle - Expansion Set,Super Mario,13.329999923706055,0,30.0,50.0,45.0,90.0,70.0,60.0,59.75,3
71410,"Character, Super Mario, Series 5 (Complete Series of 8 Complete Character Sets)",Super Mario,10.319999694824219,0,30.0,10.0,85.0,10.0,70.0,10.0,36.25,2
71411,The Mighty Bowser,Super Mario,6.519999980926514,0,30.0,30.0,85.0,10.0,70.0,80.0,49.75,3
71412,Big Bad Island - Expansion Set,Super Mario,3.4600000381469727,1,30.0,90.0,10.0,30.0,70.0,20.0,42.5,2
71757,Lloyd's Ninja Mech,NINJAGO,10.3100004196167,0,30.0,70.0,10.0,10.0,45.0,10.0,29.0,1
71759,Ninja Dragon Temple,NINJAGO,11.6899995803833,0,30.0,90.0,10.0,10.0,45.0,20.0,33.5,1
71760,Jay’s Thunder Dragon EVO,NINJAGO,6.619999885559082,0,30.0,50.0,25.0,10.0,45.0,10.0,28.25,0
71761,Zane’s Power Up Mech EVO,NINJAGO,12.199999809265137,0,30.0,30.0,10.0,10.0,45.0,10.0,23.0,0
71762,Kai’s Fire Dragon EVO,NINJAGO,5.440000057220459,0,30.0,70.0,25.0,10.0,25.0,20.0,28.75,1
71764,Ninja Training Center,NINJAGO,6.139999866485596,0,30.0,10.0,45.0,10.0,25.0,20.0,22.75,0
71765,Ninja Ultra Combo Mech,NINJAGO,26.940000534057617,0,30.0,30.0,45.0,30.0,45.0,40.0,36.75,0
71766,Lloyd’s Legendary Dragon,NINJAGO,6.789999961853027,0,30.0,30.0,45.0,10.0,45.0,40.0,32.75,0
71767,Ninja Dojo Temple,NINJAGO,6.619999885559082,0,30.0,10.0,45.0,10.0,45.0,60.0,32.75,1
71768,Jay's Golden Dragon Motorbike,NINJAGO,18.559999465942383,0,30.0,50.0,25.0,10.0,45.0,10.0,28.25,0
71769,Cole's Dragon Cruiser,NINJAGO,11.640000343322754,0,30.0,50.0,25.0,10.0,45.0,20.0,29.75,0
71770,Zane's Golden Dragon Jet,NINJAGO,24.31999969482422,0,30.0,50.0,25.0,10.0,45.0,20.0,29.75,0
71771,The Crystal King Temple,NINJAGO,5.039999961853027,0,30.0,30.0,45.0,10.0,25.0,40.0,28.75,0
71772,The Crystal King,NINJAGO,5.179999828338623,0,30.0,30.0,45.0,10.0,25.0,40.0,28.75,0
71773,Kai's Golden Dragon Raider,NINJAGO,14.930000305175781,0,30.0,50.0,25.0,10.0,45.0,40.0,32.75,0
71774,Lloyd's Golden Ultra Dragon,NINJAGO,30.399999618530273,0,30.0,50.0,45.0,10.0,45.0,60.0,38.75,1
71775,Nya's Samurai X MECH,NINJAGO,20.469999313354492,0,30.0,50.0,45.0,10.0,45.0,60.0,38.75,1
71776,Jay and Nya's Race Car EVO,NINJAGO,5.869999885559082,0,30.0,30.0,45.0,10.0,25.0,40.0,28.75,0
75320,Snowtrooper Battle Pack,Star Wars,16.030000686645508,0,30.0,70.0,10.0,50.0,70.0,10.0,42.0,2
75321,The Razor Crest Microfighter,Star Wars,9.510000228881836,0,30.0,30.0,25.0,30.0,70.0,10.0,34.25,1
75322,Hoth AT-ST,Star Wars,9.300000190734863,0,30.0,30.0,45.0,30.0,70.0,40.0,41.75,1
75323,The Justifier,Star Wars,6.5,0,30.0,50.0,65.0,10.0,70.0,60.0,46.75,3
75324,Dark Trooper Attack,Star Wars,4.599999904632568,1,30.0,70.0,10.0,10.0,70.0,20.0,35.5,2
75326,Boba Fett's Throne Room,Star Wars,4.599999904632568,1,30.0,50.0,45.0,10.0,70.0,60.0,43.75,2
75327,Luke Skywalker (Red Five) Helmet,Star Wars,7.599999904632568,0,30.0,30.0,85.0,10.0,70.0,40.0,43.75,2
75329,Death Star Trench Run Diorama,Star Wars,5.360000133514404,0,30.0,30.0,85.0,70.0,70.0,40.0,55.75,3
75330,Dagobah Jedi Training Diorama,Star Wars,5.360000133514404,0,30.0,30.0,65.0,70.0,70.0,40.0,52.75,3
75331,The Razor Crest - UCS,Star Wars,7.050000190734863,0,30.0,30.0,85.0,10.0,70.0,80.0,49.75,3
75332,AT-ST,Star Wars,7.0,0,30.0,90.0,10.0,10.0,70.0,20.0,38.5,2
75334,Obi-Wan Kenobi vs. Darth Vader,Star Wars,7.300000190734863,0,30.0,50.0,25.0,10.0,70.0,40.0,37.75,1
75335,BD-1,Star Wars,30.399999618530273,0,30.0,30.0,85.0,10.0,70.0,60.0,46.75,3
75336,Inquisitor Transport Scythe,Star Wars,5.0,0,30.0,30.0,65.0,10.0,70.0,60.0,43.75,3
75338,Ambush on Ferrix,Star Wars,6.130000114440918,0,30.0,30.0,65.0,10.0,70.0,40.0,40.75,2
75339,Death Star Trash Compactor Diorama,Star Wars,3.819999933242798,1,30.0,30.0,45.0,70.0,70.0,40.0,49.75,2
75340,"Advent Calendar 2022, Star Wars (Day 24) - Festive R2-D2",Holiday & Event,3.119999885559082,1,50.0,50.0,10.0,90.0,45.0,20.0,46.5,1
75342,Republic Fighter Tank,Star Wars,6.079999923706055,0,30.0,50.0,10.0,10.0,70.0,20.0,32.5,1
75343,Dark Trooper Helmet,Star Wars,10.510000228881836,0,30.0,30.0,85.0,10.0,70.0,40.0,43.75,2
75571,Neytiri & Thanator vs. AMP Suit Quaritch,Avatar,14.800000190734863,0,10.0,30.0,65.0,10.0,45.0,20.0,29.75,1
