set_number,title,theme,subtheme,actual_growth,is_avoid,avoid_prob,shelf_life_months,retire_quarter,retires_before_q4
75356,Executor Super Star Destroyer,Star Wars,Episode VI,7.12,0,0.05334141997703482,,,
75391,LEGO Star Wars 75391 Captain Rex Y-Wing Microfighter,Star Wars,MicroFighters,7.56,0,0.06677415117020293,,,
75397,Jabba's Sail Barge - UCS,Star Wars,Ultimate Collector Series,7.29,0,0.09675277357937428,,,
60445,F1 Truck with RB20 & AMR24 F1 Cars,Town,Formula 1,3.9,1,0.9711489955118929,,,
60474,F1 Grid with VCARB & Sauber Race Cars,Town,Formula 1,4.49,1,0.7840448328468599,9.034165571616294,4.0,0.0
31150,Wild Safari Animals,Creator,3 in 1,3.72,1,0.9486380313337862,,,
75401,LEGO Star Wars 75401 Ahsoka's Jedi Interceptor,Star Wars,The Clone Wars,6.99,0,0.30142604291311126,,,
42669,Beekeepers' House and Flower Garden,Friends,Great Outdoors,2.89,1,0.9755215788942909,9.986859395532194,4.0,0.0
75349,Captain Rex Helmet,Star Wars,Helmet Collection,7.16,0,0.009387964981780083,,,
10334,Retro Radio,Icons,Miscellaneous,5.22,0,0.42537476605743174,,,
31213,Mona Lisa,Art,Paintings,8.0,0,0.11864561764981277,,,
75388,Jedi Bob's Starfighter,Star Wars,Rebuild the Galaxy,4.54,1,0.35896133212438497,,,
75347,TIE Bomber,Star Wars,Episode VI,7.12,0,0.05013636510852832,,,
75399,LEGO Star Wars 75399 Rebel U-Wing Starfighter,Star Wars,Andor,4.74,1,0.14831789335783263,,,
75325,The Mandalorian's N-1 Starfighter,Star Wars,The Book of Boba Fett,4.74,1,0.23221570094455568,,,
75333,Obi-Wan Kenobi's Jedi Starfighter,Star Wars,Episode II,9.13,0,0.2209492625056137,,,
75410,LEGO Star Wars 75410 Mando and Grogu's N-1 Starfighter,Star Wars,The Mandalorian,4.74,1,0.8383678399250998,,,
75412,LEGO Star Wars 75412 Death Trooper & Night Trooper Battle Pack,Star Wars,Ahsoka,4.74,1,0.9643706391375517,,,
75440,AT-AT,Star Wars,Episode V,6.8,0,0.0861153787105992,,,
75416,LEGO Star Wars 75416 Chopper (C1-10P) Astromech Droid,Star Wars,Ahsoka,4.74,1,0.4609611187877297,,,
10300,DeLorean,Icons,Licensed,5.25,0,0.34003327691263124,,,
10307,Eiffel Tower,Icons,Landmarks,5.99,0,0.12993195732262475,,,
10302,Optimus Prime,Icons,Transformers,4.74,1,0.4894068258943715,,,
10362,LEGO Icons 10362 French Cafe,Creator,Restaurants of the World,5.99,0,0.6463648321629591,,,
10338,Bumblebee,Icons,Transformers,4.74,1,0.8655631591247553,,,
10318,Concorde,Icons,,5.88,0,0.22635547829685448,,,
10326,Natural History Museum,Icons,Modular Buildings,10.24,0,0.222515785835145,,,
10333,Barad-dûr,Icons,Licensed,5.25,0,0.16324519463460269,,,
10323,PAC-MAN Arcade,Icons,Licensed,5.25,0,0.3601500672845367,,,
10327,Dune Atreides Royal Ornithopter,Icons,Licensed,5.25,0,0.5008313337595746,,,
10331,Kingfisher,Icons,,5.99,0,0.3212526145109068,,,
21348,Dungeons & Dragons: Red Dragon's…,Ideas and CUUSOO,Licensed,6.06,0,0.09413789117925334,,,
21352,Disney Magic,Ideas and CUUSOO,Licensed,6.06,0,0.30818542096333745,,,
42211,Lunar Outpost Moon Rover,Technic,Space,4.9,1,0.9107106069847626,,,
42160,Audi RS Q e-tron,Technic,Licensed,3.56,1,0.8889237302117223,,,
42130,BMW Motorrad M 1000 RR,Technic,,3.6,1,0.6465041185537204,,,
42143,Ferrari Daytona SP3,Technic,,3.6,1,0.47730905984140726,,,
42171,Mercedes-AMG F1 W14 E Performance,Technic,Licensed,3.56,1,0.8659290204400925,,,
42173,Koenigsegg Jesko Absolut Gray Hypercar,Technic,Licensed,3.56,1,0.9107768816038019,,,
42164,LEGO Technic 42164 Off-Road Race Buggy,Technic,,3.6,1,0.5156710017242209,,,
42167,Mack LR Electric Garbage Truck,Technic,Licensed,3.56,1,0.9054763947543898,,,
42158,NASA Mars Perseverance Rover,Technic,Licensed,3.56,1,0.8323792717436195,,,
42197,LEGO Technic 42197 Backhoe Loader,Technic,,3.6,1,0.22887478512310155,,,
42198,LEGO Technic 42198 Bush Plane,Technic,,3.6,1,0.7531893492113482,,,
42210,LEGO Technic 42210 2 Fast 2 Furious Nissan Skyline GT-R (R34) Car,Technic,Licensed,3.56,1,0.8358003884316052,,,
76417,Gringotts Wizarding Bank - Collectors'…,Harry Potter,,5.74,0,0.035418830691842665,,,
42222,LEGO Technic 42222 Bugatti Chiron Pur Sport Hypercar,Technic,Licensed,3.56,1,0.8772045057609019,,,
21058,Great Pyramid of Giza,Architecture,Landmark Series,8.13,0,0.0759785620261461,,,
42224,LEGO Technic 42224 Porsche 911 GT3 R REXY AO Racing Car,Technic,Licensed,3.56,1,0.857686524500673,,,
76461,LEGO Harry Potter 76461 Cornish Pixie,Harry Potter,,5.74,0,0.24499889519017415,,,
76425,Hedwig at 4 Privet Drive,Harry Potter,Chamber of Secrets,6.83,0,0.14504945992628251,,,
76435,Hogwarts Castle: The Great Hall,Harry Potter,Philosopher's Stone,5.92,0,0.04793766165330172,,,
76459,LEGO Harry Potter 76459 Hagrid & Harry's Privet Drive Escape,Harry Potter,Deathly Hallows,4.74,1,0.3652783734070168,,,
42221,NASA Artemis Space Launch System Rocket,Technic,Licensed,3.56,1,0.9003657225830934,,,
42681,LEGO Friends 42681 Axolotl Adventure Boat,Friends,General,2.34,1,0.9921519485696032,,,
76303,LEGO Super Heroes 76303 Batman Tumbler vs. Two-Face & The Joker,Super Heroes DC,The Dark Knight Trilogy,2.31,1,0.07119103937448046,,,
31162,Cute Bunny,Creator,3 in 1,3.72,1,0.9173581920540232,,,
31164,Space Robot,Creator,3 in 1,3.72,1,0.8453612956062326,,,
31212,The Milky Way Galaxy,Art,,6.9,0,0.03609635262994449,,,
31157,Exotic Peacock,Creator,3 in 1,3.72,1,0.8603715041699301,,,
31208,Hokusai - The Great Wave,Art,Paintings,8.0,0,0.06634465157270114,,,
31173,LEGO Creator 31173 Wild Animals: Tropical Toucan,Creator,3 in 1,3.72,1,0.9244118490619622,,,
31161,LEGO Creator 31161 Medieval Dragon,Creator,3 in 1,3.72,1,0.9227381488348284,,,
71495,Mateo vs. Cyber Brain Mech,DREAMZzz,Season 3,3.1,1,0.7750897348444206,,,
43243,Simba the Lion King Cub,Disney,The Lion King,5.16,0,0.3046728611612442,,,
43290,LEGO Disney Pixar 43290 Kevin & Dug,Disney,Up,5.16,0,0.39911233583603756,,,
31377,LEGO Creator 31377 Turtle with a Water Lily Flower,Creator,3 in 1,3.72,1,0.9365335368768246,,,
43287,LEGO Disney Princess 43287 Olaf and Bruni's Picnic Fun,Disney,Frozen II,4.38,1,0.8727973317322886,,,
43266,LEGO Disney Princess 43266 Cinderella's Dress,Disney,Dresses,5.16,0,0.23124769167354628,,,
